"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
11260,0,"54.330186488333, 18.585012045",9,
11261,1,"54.338451403333, 18.617842445",5,98691
11262,0,"54.328876796667, 18.599085901667",5,
11263,1,"54.328652535, 18.582123423333",5,
11264,0,"54.3298776, 18.593623743333",5,
11265,2,"54.325670871667, 18.583938856667",5,"98431,98161"
11266,0,"54.333695945, 18.585509283333",5,
11267,0,"54.350038901667, 18.582577471667",5,
11268,0,"54.341000481667, 18.617505848333",5,
11269,0,"54.333068791667, 18.596524525",5,
11270,0,"54.325853348333, 18.592410606667",5,
11271,1,"54.312862281667, 18.597422391667",5,98739
11272,0,"54.328833081667, 18.616731821667",5,
11273,0,"54.322953068333, 18.615050768333",5,
11274,0,"54.322637463333, 18.632191641667",5,
11275,0,"54.308977536667, 18.587542065",9,
11276,0,"54.316171068333, 18.590097396667",5,
11277,0,"54.326684105, 18.621323575",9,
11278,2,"54.330165845, 18.627059976667",5,"99314,98961"
11279,0,"54.327342968333, 18.595946511667",5,
11280,0,"54.356742535, 18.680948521667",5,
11281,0,"54.362643166667, 18.70802028",5,
11282,8,"54.343227265, 18.662456623333",5,"98759,98362,98202,99105,98959,98843,600342,600293"
11283,0,"54.352134818333, 18.645499025",5,
11284,1,"54.360692393333, 18.710855766667",9,98130
11285,0,"54.36127551, 18.715441715",9,
11286,0,"54.34399427, 18.647018715",9,
11287,1,"54.35229168, 18.672116753333",5,98444
11288,0,"54.345786776667, 18.648188325",5,
11289,0,"54.34791488, 18.66991187",5,
11290,0,"54.344305858333, 18.655142543333",5,
11291,6,"54.366357098333, 18.626707703333",5,"98729,98345,98254,98895,98881,98797"
11292,0,"54.351073348333, 18.52995795",5,
11293,0,"54.350419615, 18.509346541667",5,
11294,1,"54.338864945, 18.50783678",5,99045
11295,0,"54.35112783, 18.533100801667",5,
11296,0,"54.352721085, 18.513293673333",9,
11297,0,"54.352922715, 18.508746755",5,
11298,0,"54.334032493333, 18.616311803333",5,
11299,0,"54.338075523333, 18.606530858333",5,
11300,0,"54.342977031667, 18.611794095",5,
11301,0,"54.337224091667, 18.61257713",4,
11302,0,"54.338136471667, 18.610740635",5,
11303,0,"54.33706988, 18.603296548333",5,
11304,0,"54.330723953333, 18.605970123333",5,
11305,0,"54.354331816667, 18.650129085",5,
11306,0,"54.354815943333, 18.654711636667",5,
11307,8,"54.35778046, 18.647418126667",5,"98411,98138,99182,99019,98986,98975,98968,98880"
11308,0,"54.335711431667, 18.649194843333",5,
11309,0,"54.355723046667, 18.646015101667",9,
11310,7,"54.360368376667, 18.649761706667",5,"98454,98187,99173,98989,98812,600339,600294"
11311,4,"54.34999266, 18.660087475",5,"98478,98358,98142,600028"
11312,0,"54.355243061667, 18.646024606667",0,
11313,2,"54.347886861667, 18.665100011667",9,"98398,98887"
11315,0,"54.356759281667, 18.651838246667",5,
11316,0,"54.35522517, 18.656154625",5,
11317,1,"54.354305923333, 18.646315536667",5,98002
11318,1,"54.355882526667, 18.649021763333",9,98094
11319,7,"54.347299345, 18.660916973333",5,"98704,98210,98064,99007,98951,600252,600150"
11321,0,"54.362986551667, 18.62991283",5,
11322,2,"54.360749048333, 18.641117048333",0,"98726,98877"
11323,0,"54.353872396667, 18.633162311667",5,
11324,0,"54.401761326667, 18.576578405",0,
11325,0,"54.341870325, 18.62213015",5,
11326,0,"54.35435431, 18.642492996667",5,
11327,0,"54.356763216667, 18.639914895",5,
11328,1,"54.358026326667, 18.629765658333",5,98079
11329,0,"54.345249448333, 18.645905348333",9,
11330,3,"54.412980718333, 18.535128451667",9,"98530,98255,98838"
11331,1,"54.373233088333, 18.625645703333",9,98126
